JA04-03-AP-00014
PIPING AND INSTRUMENTATION DIAGRAM\JUDY RISER PLATFORM AND BRIDGE\JASMINE HP SEPARATOR
Continuity Labels
Number,Tag,x,y,w,h,Pointing Direction,Location
97,N/A,N/A,SPv,1044,2208,64,36,B3
98,N/A,N/A,103I.E1018,3768,2160,156,36,E3
99,N/A,N/A,NOTE 42,5372,2116,124,36,F3
100,N/A,N/A,NOTE 39,3672,2116,124,36,D3
101,N/A,N/A,1oo2 VOTING,2716,2100,180,36,C3
102,N/A,N/A,D,5084,2092,32,36,F3
103,N/A,N/A,"1""",4984,2092,32,36,F3
104,N/A,N/A,1 03-v1 069,4831,2080,137,36,F3
105,N/A,N/A,CSS,2936,2048,36,68,D3
106,Reducer (Vertical-Up),36,"16""x12""",3492,2032,36,104,D3
107,Pipeline,29,24-GW-1031006-DDJ01-HC,5200,2000,348,36,F3
108,Reducer (Horizontal-Right),37,"26""x24""",4444,1992,100,36,E3
109,N/A,N/A,METERING,5588,1976,152,36,G3
110,DB&BBV (Vertical-Left),39,"0.75""",4668,1956,72,36,F3
111,N/A,N/A,CSS,3320,1956,36,68,D3
112,N/A,N/A,103v1074,5128,1944,148,36,F3
113,N/A,N/A,l,5024,1944,36,36,F3
114,N/A,N/A,H,4032,1944,24,36,E3
115,N/A,N/A,HT,5292,1940,44,32,F3
116,N/A,N/A,JASMINE GAS,5588,1936,188,36,G3
117,N/A,N/A,NOTE 19,3884,1904,124,36,E3
118,N/A,N/A,N I,5292,1892,36,32,F3
119,N/A,N/A,NOTE 37,5048,1888,124,44,F3
120,N/A,N/A,LL,3028,1864,40,36,D3
121,N/A,N/A,LL,2800,1864,40,36,D3
122,N/A,N/A,LL,2488,1864,40,36,C3
123,N/A,N/A,LL,3408,1812,40,36,D3
124,N/A,N/A,NOTE 44,2208,1812,124,36,C3
125,N/A,N/A,NOTE 43,1884,1812,124,36,C3
126,N/A,N/A,DDJ0,1044,1812,76,36,B3
127,N/A,N/A,HT,976,1812,44,36,B3
128,N/A,N/A,N I,980,1764,36,32,B3
129,N/A,N/A,SDJO,1044,1760,76,36,B3
130,N/A,N/A,LPD,856,1732,60,36,A2
131,N/A,N/A,103-PIC1224,5588,1676,168,36,G2
132,N/A,N/A,O76v1 984,704,1672,152,48,A2
133,Pipeline,19,12-OX-1031016-DDJ01-HT,2036,1576,336,36,C2
134,N/A,N/A,RS,912,1560,36,44,A2
135,N/A,N/A,NOTE 6,3804,1556,108,36,E2
136,N/A,N/A,NOTE 55,4040,1544,124,36,E2
137,Pipeline,33,8-OX-1031024-DDJ01-HT,2900,1544,324,36,D2
138,Pipeline,19,8-OX-1031022-DDJ01-HT,2108,1532,324,36,C2
139,N/A,N/A,L,4116,1496,24,36,E2
140,N/A,N/A,103v1049,1588,1496,156,36,B2
141,N/A,N/A,LO///PB,1472,1488,48,68,B2
142,N/A,N/A,103=v1342,2912,1476,152,36,D2
143,N/A,N/A,LO///PB,2796,1464,44,68,D2
144,N/A,N/A,1 O3v1 067,2508,1432,152,36,C2
145,N/A,N/A,D,2932,1424,28,40,D2
146,N/A,N/A,D,1612,1424,28,40,B2
147,N/A,N/A,LO///PB,2400,1420,44,68,C2
148,N/A,N/A,059-LIC1053,5584,1396,168,36,G2
149,N/A,N/A,H,4112,1396,24,32,E2
150,N/A,N/A,D,2532,1380,28,40,C2
151,N/A,N/A,INTERFACE,3956,1352,160,36,E2
152,N/A,N/A,"1""",2932,1320,32,32,D2
153,N/A,N/A,"1""",1612,1320,32,32,B2
154,N/A,N/A,"1""",2536,1280,32,36,C2
155,N/A,N/A,LDJO1,4204,1272,84,36,E2
156,N/A,N/A,DDJ01,4088,1272,88,36,E2
157,N/A,N/A,103=v1340,2912,1264,152,36,D2
158,N/A,N/A,103v1048,1588,1264,156,36,B2
159,N/A,N/A,103-PIC1029 B/C,5588,1260,220,36,G2
160,N/A,N/A,LO///PB,2796,1244,44,72,D2
161,N/A,N/A,LO///PB,1472,1244,48,72,B2
162,N/A,N/A,LO///PB,2396,1232,48,68,C2
163,N/A,N/A,D,2932,1212,28,40,D2
164,N/A,N/A,D,1612,1212,28,40,B2
165,N/A,N/A,4128,5216,1200,68,36,F2
166,N/A,N/A,NOTE 31,4992,1164,120,36,F2
167,N/A,N/A,1M MIN,4504,1164,100,32,E2
168,N/A,N/A,"1""",3884,1164,32,32,E2
169,N/A,N/A,D,3988,1160,32,36,E2
170,N/A,N/A,1 O3v1 056,1680,1160,140,36,B2
171,N/A,N/A,SPv,5188,1140,64,36,F2
172,N/A,N/A,"1""",2932,1104,32,36,D2
173,Reducer (Vertical-Up),50,"8""x4""",2792,1104,72,40,D2
174,Reducer (Vertical-Up),52,"8""x4""",2388,1104,72,40,C2
175,N/A,N/A,"1""",1612,1104,32,36,B2
176,Reducer (Vertical-Up),51,"8""x4""",1468,1104,72,40,B2
177,N/A,N/A,"1""",2536,1100,32,32,C2
178,Pipeline,4,12-vH-0601024-SBJO2-NI,5212,1072,324,36,F2
179,Pipeline,5,6-OX-1031028-LDJ01-HT,4328,1072,320,36,E2
180,Pipeline,6,6-OX-1031011-DDJ01-HT,3600,1072,324,36,D2
181,Reducer (Horizontal-Left) + Flange Joint,116,"12""x6""",4888,1060,84,36,F2
182,N/A,N/A,HP FLARE,5588,1044,140,36,G2
183,N/A,N/A,LO,3496,1036,48,36,D2
184,N/A,N/A,v,4736,1028,36,32,F2
185,N/A,N/A,"1""",4636,1028,32,32,F2
186,N/A,N/A,LO///PB,5032,1012,44,68,F2
187,Pipeline,8,0.75-ZA-0761058-SDJ01-NI,469,968,343,36,A2
188,N/A,N/A,N I,5112,960,36,32,F2
189,N/A,N/A,HT,5020,960,44,32,F2
190,N/A,N/A,SBJO2,5100,916,88,36,F2
191,N/A,N/A,LDJO1,4992,916,84,36,F2
192,Reducer (Horizontal-Left),56,"12""x6""",2916,904,84,36,D2
193,Reducer (Horizontal-Right),57,"12""x6""",2352,904,84,36,C2
194,Reducer (Horizontal-Left),58,"12""x6""",1592,904,84,36,B2
195,N/A,N/A,SIGNAL TO,5588,1636,152,36,G2
196,N/A,N/A,SIGNAL TO,5588,1356,152,36,G2
197,N/A,N/A,SIGNAL TO,5588,1220,152,36,G2
198,N/A,N/A,N I,4647,3968,23,24,F5
199,N/A,N/A,SBJO2,4612,3934,88,24,E5
200,N/A,N/A,103v1062,4728,3901,140,24,F5
201,DB&BBV (Vertical-Left),1,"O,75""",4797,3868,60,24,F5
202,N/A,N/A,NOTE 21,4976,3969,106,24,F5
203,N/A,N/A,CONFIG 18,4958,3938,143,24,F5
204,N/A,N/A,MS,5011,3909,38,24,F5
205,N/A,N/A,"TSO 0.75""",5002,3879,124,24,F5
206,N/A,N/A,PC,5013,3851,33,24,F5
207,N/A,N/A,DDJ01,4608,3867,88,24,E5
208,N/A,N/A,HT,4636,3833,34,24,F5
209,N/A,N/A,061-v1188,4517,3727,141,37,E5
210,N/A,N/A,061-v1194,4268,3745,144,24,E5
211,N/A,N/A,D,4316,3710,18,28,E5
212,N/A,N/A,MS,5413,3760,55,27,F5
213,N/A,N/A,1 O3-v1 050,5424,3732,130,24,F5
214,N/A,N/A,NOTE 28,5433,3699,112,24,F5
215,N/A,N/A,MS,5716,3666,39,24,G5
216,N/A,N/A,103=v1304,5700,3632,152,31,G5
217,N/A,N/A,TSO,4027,3644,54,24,E5
218,N/A,N/A,PB,4028,3610,32,24,E5
219,N/A,N/A,PC,4027,3576,33,24,E5
220,N/A,N/A,061-v1185,4450,3576,141,24,E5
221,N/A,N/A,103v1079,4562,3543,138,24,E5
222,N/A,N/A,MS,4607,3509,39,24,E5
223,N/A,N/A,MS TSO,4956,3526,116,24,F5
224,N/A,N/A,FC,5010,3491,34,24,F4
225,N/A,N/A,PB,4962,3491,32,24,F4
226,N/A,N/A,N17B,3604,3120,76,24,D4
227,N/A,N/A,"2""",3629,3091,22,24,D4
228,N/A,N/A,N17A,3468,3120,80,24,D4
229,N/A,N/A,"2""",3494,3091,23,24,D4
230,N/A,N/A,N13B,3336,3120,76,24,D4
231,N/A,N/A,"2""",3360,3091,23,24,D4
232,N/A,N/A,N13A,3200,3120,80,24,D4
233,N/A,N/A,"2""",3225,3091,23,24,D4
234,N/A,N/A,N16,2984,3120,60,24,D4
235,N/A,N/A,"2""",3001,3091,23,24,D4
236,N/A,N/A,N12B,2796,3120,76,24,D4
237,N/A,N/A,"2""",2822,3091,23,24,D4
238,N/A,N/A,N12A,2664,3120,76,24,C4
239,N/A,N/A,"2""",2688,3091,22,24,C4
240,N/A,N/A,N11B,2496,3120,76,24,C4
241,N/A,N/A,"2""",2520,3091,22,24,C4
242,N/A,N/A,N11A,2356,3120,76,24,C4
243,N/A,N/A,"2""",2381,3091,22,24,C4
244,N/A,N/A,NSB,2144,3120,60,24,C4
245,N/A,N/A,"2""",2161,3091,23,24,C4
246,N/A,N/A,1 O3v1 077,4709,3116,127,24,F4
247,N/A,N/A,N4,4140,3086,33,24,E4
248,N/A,N/A,"20""",4132,3055,52,24,E4
249,N/A,N/A,103-v1063,1817,3116,130,24,B4
250,N/A,N/A,UC,1792,3076,51,37,B4
251,N/A,N/A,"2""",1792,3048,33,24,B4
252,N/A,N/A,103-v1 741,4450,3037,125,24,E4
253,N/A,N/A,"O,75""",4540,3005,60,24,E4
254,N/A,N/A,103=v1065,4256,3026,140,24,E4
255,N/A,N/A,K1B,4188,2982,48,24,E4
256,Vessel Connection,20,"2""",4200,2949,23,24,E4
257,N/A,N/A,1 O3v1 052,2676,2937,140,24,C4
258,N/A,N/A,K2B,2799,2892,48,24,D4
259,Vessel Connection,22,"2""",2811,2858,23,24,D4
260,N/A,N/A,"2""///K8",2959,2806,68,57,D4
261,N/A,N/A,15,4376,2837,27,24,E4
262,N/A,N/A,NOTE,4292,2837,72,24,E4
263,N/A,N/A,"4""",4379,2803,23,24,E4
264,N/A,N/A,103=v1061,4260,2769,125,24,E4
265,N/A,N/A,"4""",2665,2714,23,24,C4
266,N/A,N/A,103v1047,2664,2668,140,24,C4
267,N/A,N/A,K2A,2799,2623,50,24,D4
268,Vessel Connection,28,"2""",2811,2590,23,24,D3
269,N/A,N/A,1 O3-v1 740,4436,2612,140,24,E3
270,N/A,N/A,"O,75""",4472,2578,60,24,E3
271,N/A,N/A,NOTE 58,4449,2540,111,24,E3
272,N/A,N/A,NOTE 59,1763,2574,111,24,B3
273,N/A,N/A,1OD MIN,1795,2535,102,24,B3
274,N/A,N/A,"O,75""",4229,2516,68,37,E3
275,N/A,N/A,103v1060,2770,2493,140,38,C3
276,N/A,N/A,"6""",3214,2478,23,24,D3
277,N/A,N/A,N10,3200,2444,56,24,D3
278,N/A,N/A,NOTE 58,2388,2535,111,24,C3
279,N/A,N/A,103=v1633,2479,2507,130,24,C3
280,N/A,N/A,"3""",2462,2477,23,24,C3
281,N/A,N/A,N3,2462,2444,33,24,C3
282,N/A,N/A,LO,1462,2422,34,24,B3
283,DB&BBV (Vertical-Left),32,"O,75""",1444,2388,72,24,B3
284,N/A,N/A,NOTE 28,1028,2412,124,24,B3
285,N/A,N/A,NO,1103,2377,36,24,B3
286,N/A,N/A,HT,1043,2377,33,24,B3
287,N/A,N/A,103I.E1017,3284,2335,152,24,D3
288,N/A,N/A,103I.E1019,4672,2152,156,24,F3
289,N/A,N/A,1 O3-v1 070,4831,1961,130,24,F3
290,N/A,N/A,HH,3032,1802,35,24,D3
291,N/A,N/A,HHH,3028,1768,64,24,D3
292,N/A,N/A,HH,2805,1802,36,24,D3
293,N/A,N/A,HHH,2800,1768,68,24,D3
294,N/A,N/A,HH,2494,1802,35,24,C3
295,N/A,N/A,HHH,2488,1768,68,24,C3
296,N/A,N/A,HH,3414,1705,35,24,D2
297,N/A,N/A,INTERFACE,3265,1670,150,24,D2
298,N/A,N/A,NOTE 23,3273,1638,111,24,D2
299,N/A,N/A,CONFIG1E,982,1457,133,24,B2
300,N/A,N/A,MS,1001,1424,38,24,B2
301,N/A,N/A,PC,1003,1390,33,24,B2
302,N/A,N/A,103-v1341,2983,1372,136,38,D2
303,N/A,N/A,1 O3v1 055,1661,1372,141,38,B2
304,N/A,N/A,103=v1064,2580,1327,141,38,C2
305,N/A,N/A,103v1071,3888,1222,136,24,E2
306,N/A,N/A,1 O3v1 046,2508,1244,152,24,C2
307,N/A,N/A,D,2535,1210,16,24,C2
308,N/A,N/A,1 03-v1 354,2983,1159,141,38,D2
309,N/A,N/A,CONFIG 25,4036,1225,152,24,E2
310,N/A,N/A,MS TSO,4080,1190,102,24,E2
311,N/A,N/A,PB,4141,1156,32,24,E2
312,N/A,N/A,FO,4080,1156,35,24,E2
313,N/A,N/A,NOTE 31,3463,1223,106,24,D2
314,N/A,N/A,1 O3v1 742,3448,1188,144,24,D2
315,N/A,N/A,PB,3502,1155,32,24,D2
316,N/A,N/A,103=v1051,2580,1148,136,38,C2
317,N/A,N/A,1 O3v1 058,4636,975,140,24,F2
318,N/A,N/A,103-FY1104,5588,1544,156,24,G2
319,N/A,N/A,TO,5697,1505,35,24,G2
320,N/A,N/A,SIGNAL,5590,1505,98,24,G2
321,N/A,N/A,NOTE 18,3288,2363,136,34,D3
322,N/A,N/A,NOTE 18,4688,2182,142,41,F3
323,N/A,N/A,NOTE 15,2668,2743,135,42,C4
324,N/A,N/A,"NOTES///41, 50",2540,1815,113,106,C3
325,N/A,N/A,076-V1627,804,1834,132,24,A3
326,Pipeline,16,0.75-ZA-0761054-DDJ01-HT,918,1862,24,359,A3
