JA04-03-AP-00014
PIPING AND INSTRUMENTATION DIAGRAM\JUDY RISER PLATFORM AND BRIDGE\JASMINE HP SEPARATOR
Continuity Labels
Number,Tag,x,y,w,h,Pointing Direction,Location
79,Valve Ball,5016,2072,71,77,F3
80,Valve Ball,5061,1921,71,77,F3
81,Valve Ball,844,1658,76,71,A2
82,Valve Ball,2910,1355,77,72,D2
83,Valve Ball,1588,1355,77,72,B2
84,Valve Ball,2507,1311,77,71,C2
85,Valve Ball,3918,1142,71,77,E2
86,Valve Ball,2910,1143,77,71,D2
87,Valve Ball,2507,1130,77,73,C2
88,Valve Ball,4669,1002,71,76,F2
89,Flange Joint,5184,3805,27,38,F5
90,Line Blindspacer Open (Vertical),4438,3407,27,77,E4
91,Spectacle Blind Open (Horizontal-Right),4237,3171,100,27,E4
92,Spectacle Blind Open (Horizonatl-Left),3918,3171,99,26,E4
93,Spectacle Blind Open (Horizonatl-Left),3739,3171,99,42,E4
94,Spectacle Blind Open (Horizonatl-Left),3605,3171,99,39,D4
95,Spectacle Blind Open (Horizonatl-Left),3336,3171,99,39,D4
96,Spectacle Blind Open (Horizonatl-Left),3201,3171,100,39,D4
97,Spectacle Blind Open (Horizonatl-Left),2933,3171,99,39,D4
98,Spectacle Blind Open (Horizonatl-Left),2798,3171,99,39,D4
99,Spectacle Blind Open (Horizonatl-Left),2664,3171,99,39,C4
100,Spectacle Blind Open (Horizonatl-Left),2496,3171,99,39,C4
101,Spectacle Blind Open (Horizonatl-Left),2350,3171,99,39,C4
102,Spectacle Blind Open (Horizonatl-Left),2126,3171,99,39,C4
103,Spectacle Blind Open (Horizonatl-Left),1992,3171,99,39,C4
104,Spectacle Blind Open (Horizonatl-Left),3470,3170,99,40,D4
105,Valve Plug (Horizontal),4730,3065,83,48,F4
106,Valve Plug (Horizontal),1839,3066,83,47,B4
107,Flange Joint,4394,2471,38,15,E3
108,Flange Joint,2625,2460,37,15,C3
109,Spectacle Blind Closed (Vertical),1913,2409,27,77,C3
110,Flange Joint,933,2408,38,17,B3
111,Flange Joint,2457,2398,37,16,C3
112,Removable Spool,3207,2309,38,104,D3
113,Removable Spool,3532,2303,37,110,D3
114,Line Blindspacer Open (Vertical),4344,1983,28,77,E3
115,Removable Spool,933,1529,38,105,B2
116,Reducer (Horizontal-Left) + Flange Joint,4870,1091,60,38,F2
Vessels
Number,x,y,w,h,Location
1,1856,2409,2961,757,D4
Pipelines
Number,Orientation,x1,y1,x2,y2,Thickness,Location,Flow
